rank,objective_value,fixed_ring,ring_b,ring_c,ring_d,fixed_count
963,110114.8511011272,flange_ring_tilt_all_-90,flange_ring_tilt_all_-30,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-10,32
964,110111.7701442541,flange_ring_tilt_all_-90,base_cap_tilt_all_-15,forearm_cap_1_tilt_all_0,upperarm_cap_2_tilt_all_-10,32
965,110105.1950264502,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_30,upperarm_cap_1_tilt_all_0,wrist_cap_1_tilt_all_-45,32
966,110101.0029655787,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_30,upperarm_cap_1_tilt_all_-10,wrist_cap_2_tilt_all_10,32
967,110100.9460125626,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-10,upperarm_cap_2_tilt_all_0,32
968,110092.9243038227,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_0,forearm_cap_1_tilt_all_45,upperarm_cap_2_tilt_all_-30,32
969,110091.8214742665,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_0,upperarm_cap_1_tilt_all_-10,wrist_cap_2_tilt_all_10,32
970,110090.7531805525,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_15,upperarm_ring_tilt_all_0,upperarm_ring_tilt_all_60,32
971,110090.7531805525,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_15,upperarm_ring_tilt_all_60,upperarm_ring_x_-0.11,32
972,110086.7100097126,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_0,upperarm_cap_2_tilt_all_-15,upperarm_ring_tilt_all_30,32
973,110080.6638999499,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_30,upperarm_cap_2_tilt_all_0,wrist_cap_2_tilt_all_10,32
974,110075.7820726172,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_30,upperarm_cap_2_tilt_all_-10,wrist_cap_1_tilt_all_-30,32
975,110073.4224982420,flange_ring_tilt_all_-90,base_cap_tilt_all_-30,forearm_cap_1_tilt_all_0,upperarm_cap_1_tilt_all_-30,32
976,110072.9745648822,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_30,upperarm_cap_2_tilt_all_0,wrist_cap_2_tilt_all_0,32
977,110072.2810201968,flange_ring_tilt_all_-90,forearm_cap_2_tilt_all_15,upperarm_cap_2_tilt_all_-15,upperarm_ring_tilt_all_30,32
978,110069.3099978167,flange_ring_tilt_all_-90,base_cap_tilt_all_-10,forearm_cap_2_tilt_all_15,upperarm_cap_2_tilt_all_0,32
979,110061.9402104365,flange_ring_tilt_all_-90,forearm_cap_1_tilt_all_30,upperarm_cap_2_tilt_all_0,wrist_cap_2_tilt_all_15,32
