rank,objective_value,ring_a,ring_b,total_size
653,77923.1667281134,forearm_cap_1_tilt_all_10,wrist_cap_2_tilt_all_45,16
654,77917.4034740118,forearm_cap_1_tilt_all_15,wrist_cap_1_tilt_all_-60,16
655,77895.8282607541,base_cap_tilt_all_0,upperarm_ring_x_-0.46,16
656,77886.1019445171,base_cap_tilt_all_-30,base_cap_tilt_all_-45,16
657,77882.8869553976,upperarm_cap_2_tilt_all_-15,wrist_cap_1_tilt_all_-30,16
658,77876.5148005379,base_cap_tilt_all_-60,upperarm_ring_tilt_all_10,16
659,77873.9415047968,forearm_cap_2_tilt_all_0,upperarm_ring_x_-0.51,16
660,77858.1856840428,base_cap_tilt_all_-45,forearm_ring,16
661,77858.1856840428,base_cap_tilt_all_-45,forearm_ring_x_-0.10,16
662,77850.5325051095,base_cap_tilt_all_0,wrist_cap_2_tilt_all_30,16
663,77848.2043920963,upperarm_cap_1_tilt_all_0,upperarm_ring_tilt_all_0,16
664,77848.2043920963,upperarm_cap_1_tilt_all_0,upperarm_ring_x_-0.11,16
665,77834.0075072449,base_cap_tilt_all_0,wrist_cap_2_tilt_all_0,16
666,77828.6722491551,base_cap_tilt_all_-60,upperarm_ring_tilt_all_15,16
667,77784.4033501447,base_cap_tilt_all_-60,forearm_cap_2_tilt_all_30,16
668,77781.1947451817,forearm_cap_2_tilt_all_15,wrist_cap_2_tilt_all_0,16
669,77761.4642819117,forearm_cap_1_tilt_all_15,upperarm_ring_x_-0.46,16
670,77758.9441550449,forearm_cap_2_tilt_all_15,wrist_cap_1_tilt_all_-10,16
671,77758.0823056916,upperarm_ring_tilt_all_60,wrist_cap_1_tilt_all_-60,16
672,77754.7687871993,flange_ring_tilt_all_0,upperarm_cap_2_tilt_all_-10,16
673,77747.6366872028,base_cap_tilt_all_-45,upperarm_ring_x_-0.46,16
674,77699.4684703345,base_cap_tilt_all_-60,wrist_cap_2_tilt_all_45,16
675,77692.7679558735,forearm_cap_1_tilt_all_10,forearm_ring,16
676,77692.7679558735,forearm_cap_1_tilt_all_10,forearm_ring_x_-0.10,16
677,77691.4794354853,upperarm_ring_tilt_all_30,wrist_cap_1_tilt_all_0,16
678,77627.7624472997,forearm_cap_2_tilt_all_0,forearm_ring_x_-0.45,16
679,77617.1223037389,base_cap_tilt_all_0,flange_ring_tilt_all_-15,16
680,77587.6725446110,base_cap_tilt_all_-10,upperarm_cap_2_tilt_all_-30,16
681,77583.8139103015,upperarm_cap_1_tilt_all_-30,upperarm_ring_tilt_all_45,16
682,77551.2067671534,forearm_cap_2_tilt_all_0,wrist_cap_2_tilt_all_0,16
683,77545.8736266537,upperarm_cap_2_tilt_all_-10,upperarm_ring_x_-0.46,16
684,77545.8404102554,base_cap_tilt_all_-60,upperarm_cap_2_tilt_all_-30,16
685,77543.6267661552,upperarm_cap_1_tilt_all_-10,upperarm_ring_x_-0.51,16
686,77543.1862028675,forearm_ring_x_-0.25,upperarm_ring_tilt_all_60,16
687,77542.7384998167,upperarm_ring_tilt_all_45,upperarm_ring_x_-0.46,16
688,77497.8301169122,upperarm_ring_tilt_all_30,wrist_cap_1_tilt_all_-30,16
689,77468.6452803265,upperarm_cap_1_tilt_all_-10,upperarm_ring_x_-0.31,16
690,77468.0350363941,forearm_cap_1_tilt_all_0,upperarm_ring_x_-0.16,16
691,77462.2928466747,forearm_cap_2_tilt_all_15,wrist_cap_1_tilt_all_-15,16
692,77415.0819978891,base_cap_tilt_all_-15,upperarm_ring_x_-0.46,16
693,77402.3372114169,base_cap_tilt_all_-45,upperarm_ring_x_-0.51,16
694,77338.7244291153,upperarm_cap_2_tilt_all_0,upperarm_ring_x_-0.21,16
695,77330.2640933724,forearm_cap_1_tilt_all_15,upperarm_ring_x_-0.41,16
696,77321.1490171489,base_cap_tilt_all_-10,flange_ring_tilt_all_-30,16
697,77274.9700269869,forearm_cap_2_tilt_all_15,wrist_cap_1_tilt_all_-30,16
698,77265.1611189415,upperarm_ring_tilt_all_30,wrist_cap_1_tilt_all_-10,16
699,77262.6022316766,forearm_cap_1_tilt_all_15,wrist_cap_2_tilt_all_30,16
700,77243.6228088119,base_cap_tilt_all_-60,upperarm_ring_x_-0.31,16
701,77243.2005002757,forearm_cap_1_tilt_all_15,forearm_ring_x_-0.40,16
702,77218.7499488086,flange_ring_tilt_all_-30,forearm_cap_2_tilt_all_15,16
703,77208.6320059223,upperarm_cap_1_tilt_all_-15,wrist_cap_2_tilt_all_0,16
704,77194.0679752222,forearm_cap_2_tilt_all_0,wrist_cap_2_tilt_all_30,16
705,77159.9193863255,forearm_cap_2_tilt_all_0,forearm_ring_x_-0.40,16
706,77143.0287785992,flange_ring_tilt_all_-30,wrist_cap_2_tilt_all_0,16
707,77141.5891900619,forearm_cap_1_tilt_all_15,forearm_ring_x_-0.35,16
708,77132.7719205942,forearm_cap_2_tilt_all_0,upperarm_ring_x_-0.41,16
709,77112.4796425810,flange_ring_tilt_all_-60,upperarm_ring_tilt_all_60,16
710,77088.2960044737,upperarm_cap_1_tilt_all_-10,wrist_cap_1_tilt_all_-45,16
711,77086.0281919132,base_cap_tilt_all_-60,wrist_cap_1_tilt_all_-45,16
712,77047.5427977514,upperarm_ring_tilt_all_30,wrist_cap_1_tilt_all_-15,16
713,77028.7070958869,forearm_ring_x_-0.30,upperarm_ring_tilt_all_45,16
714,77021.9634299567,upperarm_cap_1_tilt_all_-10,upperarm_ring_tilt_all_10,16
715,77012.1360375782,flange_ring_tilt_all_-10,forearm_cap_1_tilt_all_30,16
716,77006.2419170226,forearm_cap_1_tilt_all_15,forearm_ring_x_-0.45,16
717,77002.9819829835,flange_ring_tilt_all_0,wrist_cap_2_tilt_all_10,16
718,76978.5003605739,upperarm_cap_1_tilt_all_-15,wrist_cap_1_tilt_all_-30,16
719,76967.3569590256,upperarm_cap_2_tilt_all_-10,upperarm_ring_x_-0.41,16
720,76958.0903577266,base_cap_tilt_all_-10,wrist_cap_2_tilt_all_45,16
721,76952.4162696564,forearm_cap_1_tilt_all_15,forearm_ring_x_-0.30,16
722,76951.1823767162,forearm_cap_1_tilt_all_10,upperarm_ring_x_-0.21,16
723,76936.9480334790,forearm_ring_x_-0.20,upperarm_ring_tilt_all_60,16
724,76927.1157880228,upperarm_cap_1_tilt_all_-15,wrist_cap_2_tilt_all_45,16
725,76915.2834001112,base_cap_tilt_all_-15,base_cap_tilt_all_-30,16
726,76884.5311079377,base_cap_tilt_all_0,wrist_cap_1_tilt_all_-15,16
727,76854.4243044090,forearm_cap_2_tilt_all_0,upperarm_ring_tilt_all_15,16
728,76838.3553942567,forearm_cap_1_tilt_all_0,wrist_cap_2_tilt_all_60,16
